*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Bottom
*Date=22:16:57
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;110.972;-64.7756;0;Bottom;Copper Fill73
2;;;37.9348;-8.03197;0;Bottom;Copper Fill109
3;;;44.3711;-90.1441;0;Bottom;Via40
4;;;77.3429;-92.1568;0;Bottom;Copper Fill1
5;;;6.60401;-105.835;0;Bottom;Copper Fill53
6;;;119.05;-39.3248;0;Bottom;Copper Fill13
7;;;110.864;-39.7299;0;Bottom;Via35
8;;;95.2876;-67.5331;0;Bottom;Via25
9;;;120.106;-42.8012;0;Bottom;TXT1
10;;;49.0421;-90.1597;0;Bottom;Via44
11;;;97.0074;-11.9169;0;Bottom;Hole110
12;;;104.674;-10.5179;0;Bottom;Hole153
13;;;13.9393;-29.7795;0;Bottom;Hole141
14;;;100.312;-54.4689;0;Bottom;Via37
15;;;0.588311;-86.1603;90;Bottom;TXT1
16;;;62.014;-21.7988;0;Bottom;Copper Fill44
17;;;73.1118;-57.5283;90;Bottom;Part7
18;;;2.18183;-105.414;0;Bottom;Hole127
19;;;117.678;-35.9212;0;Bottom;Copper Fill74
20;;;71.0183;-87.6483;0;Bottom;Copper Fill33
21;;;75.2239;-9.47366;0;Bottom;Via68
22;;;89.3245;-11.9169;0;Bottom;Hole108
23;;;13.9681;-22.6125;0;Bottom;Hole135
24;;;49.8132;-2.20051;0;Bottom;Hole225
25;;;120.321;-70.2199;0;Bottom;TXT1
26;;;99.5999;-9.53183;0;Bottom;Hole147
27;;;60.8181;-100.755;0;Top;Pad2
28;;;25.4888;-93.0712;0;Bottom;Copper Fill106
29;;;1.1061;-19.4998;90;Bottom;TXT1
30;;;38.489;-2.20051;0;Bottom;Hole221
31;;;108.648;-83.4954;0;Bottom;Copper Fill62
32;;;30.3148;-8.03197;0;Bottom;Copper Fill108
33;;;60.8225;-98.1952;0;Top;Pad1
34;;;1.79781;-17.8359;0;Bottom;IMG10
35;;;74.8542;-65.6907;0;Bottom;Via55
36;;;61.7092;-59.4924;0;Bottom;Copper Fill79
37;;;37.9348;-6.35557;0;Bottom;Copper Fill64
38;;;102.15;-11.9169;0;Bottom;Hole109
39;;;2.76861;-56.8762;0;Bottom;Copper Fill7
40;;;120.383;-77.5435;0;Bottom;TXT1
41;;;43.1457;-2.20051;0;Bottom;Hole241
42;;THT;117.954;-45.3612;0;Bottom;GPS
43;;;57.9628;-53.8028;0;Bottom;Copper Fill77
44;;;39.9001;-2.20051;0;Bottom;Hole220
45;;;60.7822;-39.02;0;Bottom;Copper Fill24
46;;;13.9681;-23.7222;0;Bottom;Hole138
47;;THT;117.948;-54.2218;0;Bottom;ANALOG
48;;;91.823;-9.53183;0;Bottom;Hole149
49;;;120.338;-67.5757;0;Bottom;TXT1
50;;;86.6012;-87.534;0;Bottom;Copper Fill41
51;;;99.5474;-11.9169;0;Bottom;Hole107
52;;;38.1148;-52.3064;0;Bottom;Pad6
53;;;120.354;-80.196;0;Bottom;TXT1
54;;;36.6193;-2.16523;0;Bottom;Hole248
55;;;73.7615;-18.954;0;Bottom;Copper Fill20
56;;;71.5728;-60.8951;0;Bottom;Via49
57;;;78.3712;-42.4096;0;Bottom;Via58
58;;;86.1059;-88.0039;0;Bottom;Copper Fill88
59;;;86.6012;-87.534;0;Bottom;Copper Fill87
60;;;12.2085;-40.3471;0;Bottom;Via52
61;;;102.992;-72.7252;0;Bottom;Via18
62;;;53.3272;-93.0712;0;Bottom;Copper Fill93
63;;;95.4553;-99.1886;0;Bottom;Via28
64;;;81.8979;-80.1963;0;Bottom;Via5
65;;;42.5107;-2.20051;0;Bottom;Hole235
66;;;119.075;-54.2092;0;Bottom;Copper Fill10
67;;switch-spdt;3.83846;-58.1537;0;Bottom;VIN-
68;;;59.6899;-105.835;0;Bottom;Copper Fill59
69;;;120.343;-35.0641;0;Bottom;IMG9
70;;;46.7359;-90.9884;0;Bottom;Copper Fill3
71;;THT;30.7316;-25.6731;0;Bottom;FSR
72;;;84.5386;-11.9214;0;Bottom;Hole104
73;;;13.9393;-22.0184;0;Bottom;Hole142
74;;;114.808;-75.2912;0;Bottom;Copper Fill5
75;;;120.33;-37.7285;0;Bottom;TXT1
76;;;120.321;-52.7914;0;Bottom;TXT1
77;;;53.7995;-2.20051;0;Bottom;Hole237
78;;;72.0089;-60.9275;0;Bottom;Copper Fill27
79;;;74.7521;-35.1338;0;Bottom;Copper Fill16
80;;;78.5875;-85.2607;0;Bottom;Copper Fill38
81;;;93.5989;-45.5732;0;Bottom;Copper Fill75
82;;;120.385;-60.3266;0;Bottom;TXT1
83;;;39.2679;-2.21519;0;Bottom;Hole219
84;;;62.5093;-22.2687;0;Bottom;Copper Fill86
85;;;9.92415;-14.6807;0;Bottom;Via70
86;;;43.8512;-2.20051;0;Bottom;Hole234
87;;;0.756149;-95.0464;90;Bottom;TXT1
88;;;120.371;-77.5519;0;Bottom;TXT1
89;;THT;117.978;-61.6375;0;Bottom;MOSFET
90;;;120.136;-45.4561;0;Bottom;TXT1
91;;;48.4373;-2.20051;0;Bottom;Hole239
92;;;8.20421;-98.2147;0;Bottom;Copper Fill99
93;;;35.2434;-2.20051;0;Bottom;Hole244
94;;;72.1276;-25.3684;0;Bottom;Via65
95;;;71.5136;-60.4576;0;Bottom;Copper Fill78
96;;;120.012;-74.9835;0;Bottom;TXT1
97;;;60.49;-106.279;0;Bottom;Copper Fill100
98;;THT;117.969;-69.0693;0;Bottom;I2C
99;;;61.7092;-59.4924;0;Bottom;Copper Fill28
100;;;13.9393;-29.3562;0;Bottom;Hole140
101;;;48.9711;-26.7899;0;Bottom;Copper Fill92
102;;;86.7743;-9.53183;0;Bottom;Hole151
103;;;13.9393;-27.6629;0;Bottom;Hole133
104;;;70.1735;-94.3578;0;Bottom;Via41
105;;;119.175;-92.1647;0;Bottom;Pad9
106;;;71.5136;-61.4228;0;Bottom;Copper Fill25
107;;;91.7705;-11.9169;0;Bottom;Hole105
108;;SIP (Single Inline) [THT];117.978;-77.6355;0;Bottom;PWR
109;;;98.47;-80.0948;0;Bottom;Via19
110;;;112.176;-96.0782;0;Bottom;Via71
111;;;62.3696;-5.87297;0;Bottom;Copper Fill90
112;;;119.175;-90.2361;0;Bottom;Pad8
113;;;107.848;-82.6699;0;Bottom;Copper Fill104
114;;;76.5289;-44.0845;0;Bottom;Via56
115;;;45.7562;-2.20051;0;Bottom;Hole240
116;;;88.0363;-17.3538;0;Bottom;Copper Fill21
117;;;32.759;-16.9225;180;Bottom;Part4
118;;;51.1301;-27.8186;0;Bottom;Copper Fill19
119;;switch-spdt;118.799;-97.7715;180;Bottom;RST!
120;;;97.0599;-9.53183;0;Bottom;Hole144
121;;;83.8398;-103.296;0;Bottom;Via3
122;;;120.39;-60.337;0;Bottom;TXT1
123;;;26.4159;-36.8356;0;Bottom;Copper Fill15
124;;;7.02814;-102.595;0;Top;Pad3
125;;;120.326;-67.5841;0;Bottom;TXT1
126;;;72.0724;-25.9136;0;Bottom;Copper Fill94
127;;;7.40411;-106.279;0;Bottom;Copper Fill52
128;;;13.9681;-25.1322;0;Bottom;Hole137
129;;;100.711;-87.3308;0;Bottom;Copper Fill68
130;;;61.2901;-105.835;0;Bottom;Copper Fill60
131;;;71.5771;-25.4183;0;Bottom;Copper Fill49
132;;;103.798;-33.1978;0;Bottom;Via36
133;;;119.151;-96.4494;0;Bottom;Copper Fill69
134;;;80.7162;-59.996;0;Bottom;Via61
135;;;71.5519;-87.614;0;Bottom;Via50
136;;;108.687;-35.2075;0;Bottom;Via29
137;;;102.825;-47.0992;0;Bottom;Via17
138;;;102.203;-9.53183;0;Bottom;Hole145
