*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Mid 4
*Date=22:17:52
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;2.182;-2.18203;0;Bottom;Hole18
2;;;99.5599;-11.9041;0;Bottom;Hole184
3;;;43.0478;-50.1805;0;Bottom;Hole200
4;;;15.9176;-50.1317;0;Bottom;Hole201
5;;;19.0881;-34.6767;0;Bottom;Copper Fill14
6;;;119.426;-90.9983;0;Bottom;Hole23
7;;;27.3929;-41.3342;0;Bottom;Hole208
8;;;1.00019;-86.1039;90;Bottom;TXT1
9;;;102.215;-9.51899;0;Bottom;Hole181
10;;;20.828;-32.886;0;Bottom;Copper Fill29
11;;;120.39;-60.337;0;Bottom;TXT1
12;;;46.2301;-50.1804;0;Bottom;Hole84
13;;;104.686;-10.5051;0;Bottom;Hole193
14;;THT;78.8278;-62.5372;90;Bottom;Piezo PWR
15;;;120.32;-47.8534;0;Bottom;TXT1
16;;;43.871;-2.19219;0;Bottom;Hole52
17;;kps-1290;3.37234;-80.5912;0;Top;IR LED PWR
18;;;120.321;-70.2199;0;Bottom;TXT1
19;;SIP (Single Inline) [THT];74.7277;-45.3786;-90;Bottom;GPS
20;;;99.6124;-9.51899;0;Bottom;Hole185
21;;;28.1416;-50.1805;0;Bottom;Hole198
22;;THT;117.978;-61.6375;0;Bottom;MOSFET
23;;;104.59;-9.51109;0;Bottom;Hole177
24;;;120.321;-52.7849;0;Bottom;TXT1
25;;;86.7344;-11.9041;0;Bottom;Hole194
26;;;19.0881;-31.0953;0;Bottom;Copper Fill15
27;;;119.442;-2.1761;0;Bottom;Hole196
28;;;91.8355;-9.51899;0;Bottom;Hole189
29;;;8.0525;-58.8202;0;Bottom;Hole204
30;;;94.5714;-9.51109;0;Bottom;Hole187
31;;;97.0199;-11.9041;0;Bottom;Hole178
32;;;34.6283;-2.19219;0;Bottom;Hole45
33;;THT;104.808;-59.1423;-90;Bottom;Geiger
34;;;104.737;-60.102;0;Bottom;Copper Fill26
35;;;35.2633;-2.19219;0;Bottom;Hole37
36;;;120.309;-70.2283;0;Bottom;TXT1
37;;;120.333;-35.146;0;Bottom;IMG9
38;;;120.012;-74.9835;0;Bottom;TXT1
39;;;115.252;-79.8124;0;Bottom;Copper Fill25
40;;;31.7816;-16.2003;0;Bottom;IMG13
41;;;95.2122;-45.5956;-90;Bottom;FET10
42;;;20.828;-32.886;0;Bottom;Copper Fill17
43;;;119.43;-2.18908;0;Bottom;Hole21
44;;;86.741;-41.6236;0;Bottom;Copper Fill6
45;;;41.1899;-2.19219;0;Bottom;Hole50
46;;;120.136;-45.4562;0;Bottom;TXT1
47;;;120.338;-67.5757;0;Bottom;TXT1
48;;;45.711;-84.0426;90;Bottom;TXT2
49;;;0.97346;-75.3363;90;Bottom;TXT1
50;;;104.737;-58.324;0;Bottom;Copper Fill13
51;;;84.6036;-9.52351;0;Bottom;Hole192
52;;;31.4995;-41.3342;0;Bottom;Hole207
53;;;101.373;-32.9142;0;Bottom;TXT1
54;;;115.252;-80.7776;0;Bottom;Copper Fill8
55;;;48.4572;-2.19219;0;Bottom;Hole42
56;;;6.03581;-28.8034;0;Bottom;TXT1
57;;;101.115;-30.2145;0;Bottom;TXT1
58;;;86.741;-41.6236;0;Bottom;Copper Fill21
59;;;49.833;-2.19219;0;Bottom;Hole32
60;;;104.838;-56.8442;0;Bottom;TXT1
61;;;51.1383;-2.19219;0;Bottom;Hole43
62;;;120.383;-77.5435;0;Bottom;TXT1
